Category: All categories

Day,bitcoin: (Worldwide)
2017-01-01,14
2017-01-02,23
2017-01-03,22
2017-01-04,24
2017-01-05,29
2017-01-06,26
2017-01-07,22
2017-01-08,21
2017-01-09,19
2017-01-10,18
2017-01-11,20
2017-01-12,21
2017-01-13,17
2017-01-14,16
2017-01-15,15
2017-01-16,14
2017-01-17,16
2017-01-18,15
2017-01-19,15
2017-01-20,14
2017-01-21,14
2017-01-22,13
2017-01-23,14
2017-01-24,14
2017-01-25,13
2017-01-26,13
2017-01-27,13
2017-01-28,12
2017-01-29,12
2017-01-30,13
2017-01-31,14
2017-02-01,15
2017-02-02,15
2017-02-03,15
2017-02-04,14
2017-02-05,14
2017-02-06,15
2017-02-07,14
2017-02-08,16
2017-02-09,16
2017-02-10,15
2017-02-11,14
2017-02-12,13
2017-02-13,13
2017-02-14,14
2017-02-15,14
2017-02-16,15
2017-02-17,14
2017-02-18,14
2017-02-19,12
2017-02-20,14
2017-02-21,16
2017-02-22,16
2017-02-23,18
2017-02-24,21
2017-02-25,17
2017-02-26,16
2017-02-27,16
2017-02-28,17
2017-03-01,17
2017-03-02,21
2017-03-03,26
2017-03-04,23
2017-03-05,19
2017-03-06,19
2017-03-07,22
2017-03-08,22
2017-03-09,20
2017-03-10,27
2017-03-11,24
2017-03-12,19
2017-03-13,19
2017-03-14,18
2017-03-15,18
2017-03-16,17
2017-03-17,19
2017-03-18,22
2017-03-19,20
2017-03-20,18
2017-03-21,18
2017-03-22,18
2017-03-23,17
2017-03-24,18
2017-03-25,19
2017-03-26,18
2017-03-27,17
2017-03-28,16
2017-03-29,17
2017-03-30,15
2017-03-31,15
2017-04-01,16
2017-04-02,15
2017-04-03,16
2017-04-04,16
2017-04-05,15
2017-04-06,16
2017-04-07,16
2017-04-08,16
2017-04-09,15
2017-04-10,15
2017-04-11,17
2017-04-12,15
2017-04-13,16
2017-04-14,15
2017-04-15,14
2017-04-16,14
2017-04-17,15
2017-04-18,17
2017-04-19,15
2017-04-20,15
2017-04-21,16
2017-04-22,15
2017-04-23,14
2017-04-24,15
2017-04-25,17
2017-04-26,18
2017-04-27,18
2017-04-28,18
2017-04-29,17
2017-04-30,17
2017-05-01,20
2017-05-02,23
2017-05-03,22
2017-05-04,28
2017-05-05,26
2017-05-06,23
2017-05-07,22
2017-05-08,24
2017-05-09,30
2017-05-10,27
2017-05-11,31
2017-05-12,36
2017-05-13,38
2017-05-14,32
2017-05-15,46
2017-05-16,40
2017-05-17,32
2017-05-18,30
2017-05-19,33
2017-05-20,33
2017-05-21,34
2017-05-22,62
2017-05-23,67
2017-05-24,73
2017-05-25,100
2017-05-26,79
2017-05-27,62
2017-05-28,42
2017-05-29,41
2017-05-30,41
2017-05-31,41
2017-06-01,39
2017-06-02,34
2017-06-03,33
2017-06-04,31
2017-06-05,35
2017-06-06,54
2017-06-07,46
2017-06-08,38
2017-06-09,37
2017-06-10,34
2017-06-11,36
2017-06-12,52
2017-06-13,45
2017-06-14,41
2017-06-15,56
2017-06-16,39
2017-06-17,33
2017-06-18,32
2017-06-19,32
2017-06-20,34
2017-06-21,36
2017-06-22,35
2017-06-23,33
2017-06-24,33
2017-06-25,31
2017-06-26,37
2017-06-27,44
2017-06-28,41
2017-06-29,33
2017-06-30,30
2017-07-01,29
2017-07-02,29
2017-07-03,29
2017-07-04,30
2017-07-05,30
2017-07-06,29
2017-07-07,29
2017-07-08,29
2017-07-09,28
2017-07-10,31
2017-07-11,35
2017-07-12,34
2017-07-13,31
2017-07-14,32
2017-07-15,35
2017-07-16,38
2017-07-17,37
2017-07-18,37
2017-07-19,34
2017-07-20,38
2017-07-21,37
2017-07-22,32
2017-07-23,33
2017-07-24,32
2017-07-25,35
2017-07-26,33
2017-07-27,32
2017-07-28,36
2017-07-29,31
2017-07-30,31
2017-07-31,38
2017-08-01,81
2017-08-02,70
2017-08-03,43
2017-08-04,37
2017-08-05,51
2017-08-06,40
2017-08-07,52
2017-08-08,57
2017-08-09,47
2017-08-10,41
2017-08-11,46
2017-08-12,53
2017-08-13,69
2017-08-14,84
2017-08-15,83
2017-08-16,69
2017-08-17,68
2017-08-18,66
2017-08-19,60
2017-08-20,56
2017-08-21,58
2017-08-22,63
2017-08-23,59
2017-08-24,55
2017-08-25,57
2017-08-26,44
2017-08-27,41
2017-08-28,48
2017-08-29,60
2017-08-30,60
2017-08-31,68
