Category: All categories

Day,bitcoin: (Worldwide)
2015-11-01,36
2015-11-02,40
2015-11-03,56
2015-11-04,77
2015-11-05,67
2015-11-06,47
2015-11-07,41
2015-11-08,36
2015-11-09,43
2015-11-10,39
2015-11-11,37
2015-11-12,35
2015-11-13,34
2015-11-14,28
2015-11-15,28
2015-11-16,30
2015-11-17,33
2015-11-18,32
2015-11-19,31
2015-11-20,33
2015-11-21,33
2015-11-22,29
2015-11-23,31
2015-11-24,31
2015-11-25,29
2015-11-26,32
2015-11-27,29
2015-11-28,27
2015-11-29,28
2015-11-30,33
2015-12-01,32
2015-12-02,34
2015-12-03,31
2015-12-04,29
2015-12-05,29
2015-12-06,31
2015-12-07,32
2015-12-08,42
2015-12-09,83
2015-12-10,57
2015-12-11,47
2015-12-12,42
2015-12-13,37
2015-12-14,36
2015-12-15,42
2015-12-16,37
2015-12-17,38
2015-12-18,37
2015-12-19,30
2015-12-20,33
2015-12-21,35
2015-12-22,32
2015-12-23,37
2015-12-24,34
2015-12-25,32
2015-12-26,36
2015-12-27,32
2015-12-28,33
2015-12-29,33
2015-12-30,34
2015-12-31,31
2016-01-01,26
2016-01-02,29
2016-01-03,31
2016-01-04,31
2016-01-05,34
2016-01-06,31
2016-01-07,38
2016-01-08,37
2016-01-09,31
2016-01-10,29
2016-01-11,34
2016-01-12,28
2016-01-13,33
2016-01-14,33
2016-01-15,43
2016-01-16,45
2016-01-17,39
2016-01-18,38
2016-01-19,37
2016-01-20,40
2016-01-21,37
2016-01-22,35
2016-01-23,35
2016-01-24,29
2016-01-25,33
2016-01-26,33
2016-01-27,32
2016-01-28,33
2016-01-29,33
2016-01-30,28
2016-01-31,28
2016-02-01,31
2016-02-02,27
2016-02-03,31
2016-02-04,29
2016-02-05,29
2016-02-06,28
2016-02-07,29
2016-02-08,28
2016-02-09,30
2016-02-10,33
2016-02-11,35
2016-02-12,31
2016-02-13,29
2016-02-14,29
2016-02-15,35
2016-02-16,34
2016-02-17,34
2016-02-18,38
2016-02-19,37
2016-02-20,34
2016-02-21,34
2016-02-22,33
2016-02-23,32
2016-02-24,35
2016-02-25,32
2016-02-26,33
2016-02-27,31
2016-02-28,29
2016-02-29,32
2016-03-01,32
2016-03-02,33
2016-03-03,35
2016-03-04,31
2016-03-05,37
2016-03-06,28
2016-03-07,33
2016-03-08,32
2016-03-09,33
2016-03-10,30
2016-03-11,28
2016-03-12,29
2016-03-13,28
2016-03-14,33
2016-03-15,31
2016-03-16,31
2016-03-17,28
2016-03-18,27
2016-03-19,29
2016-03-20,30
2016-03-21,31
2016-03-22,31
2016-03-23,30
2016-03-24,28
2016-03-25,27
2016-03-26,27
2016-03-27,29
2016-03-28,28
2016-03-29,30
2016-03-30,32
2016-03-31,31
2016-04-01,28
2016-04-02,28
2016-04-03,27
2016-04-04,29
2016-04-05,31
2016-04-06,30
2016-04-07,30
2016-04-08,29
2016-04-09,26
2016-04-10,29
2016-04-11,29
2016-04-12,31
2016-04-13,32
2016-04-14,26
2016-04-15,26
2016-04-16,26
2016-04-17,27
2016-04-18,27
2016-04-19,30
2016-04-20,29
2016-04-21,32
2016-04-22,34
2016-04-23,29
2016-04-24,31
2016-04-25,33
2016-04-26,33
2016-04-27,35
2016-04-28,38
2016-04-29,33
2016-04-30,31
2016-05-01,27
2016-05-02,100
2016-05-03,63
2016-05-04,43
2016-05-05,43
2016-05-06,39
2016-05-07,37
2016-05-08,36
2016-05-09,38
2016-05-10,36
2016-05-11,36
2016-05-12,33
2016-05-13,33
2016-05-14,28
2016-05-15,27
2016-05-16,27
2016-05-17,34
2016-05-18,32
2016-05-19,33
2016-05-20,33
2016-05-21,29
2016-05-22,28
2016-05-23,31
2016-05-24,29
2016-05-25,33
2016-05-26,28
2016-05-27,37
2016-05-28,42
2016-05-29,44
2016-05-30,46
2016-05-31,42
2016-06-01,41
2016-06-02,38
2016-06-03,40
2016-06-04,42
2016-06-05,41
2016-06-06,42
2016-06-07,41
2016-06-08,38
2016-06-09,39
2016-06-10,36
2016-06-11,38
2016-06-12,54
2016-06-13,65
2016-06-14,56
2016-06-15,50
2016-06-16,65
2016-06-17,65
2016-06-18,53
2016-06-19,46
2016-06-20,50
2016-06-21,59
2016-06-22,50
2016-06-23,55
2016-06-24,73
2016-06-25,55
2016-06-26,45
2016-06-27,47
2016-06-28,47
2016-06-29,42
2016-06-30,43
