Category: All categories

Day,ripple: (Worldwide)
2017-05-01,2
2017-05-02,2
2017-05-03,2
2017-05-04,2
2017-05-05,3
2017-05-06,2
2017-05-07,3
2017-05-08,4
2017-05-09,3
2017-05-10,3
2017-05-11,2
2017-05-12,3
2017-05-13,3
2017-05-14,2
2017-05-15,3
2017-05-16,5
2017-05-17,5
2017-05-18,4
2017-05-19,4
2017-05-20,4
2017-05-21,4
2017-05-22,4
2017-05-23,4
2017-05-24,4
2017-05-25,4
2017-05-26,4
2017-05-27,4
2017-05-28,3
2017-05-29,3
2017-05-30,3
2017-05-31,3
2017-06-01,4
2017-06-02,4
2017-06-03,3
2017-06-04,3
2017-06-05,3
2017-06-06,3
2017-06-07,3
2017-06-08,3
2017-06-09,3
2017-06-10,3
2017-06-11,3
2017-06-12,3
2017-06-13,3
2017-06-14,3
2017-06-15,3
2017-06-16,3
2017-06-17,3
2017-06-18,3
2017-06-19,3
2017-06-20,4
2017-06-21,3
2017-06-22,3
2017-06-23,3
2017-06-24,3
2017-06-25,3
2017-06-26,3
2017-06-27,3
2017-06-28,3
2017-06-29,3
2017-06-30,2
2017-07-01,2
2017-07-02,2
2017-07-03,3
2017-07-04,2
2017-07-05,2
2017-07-06,2
2017-07-07,2
2017-07-08,2
2017-07-09,2
2017-07-10,3
2017-07-11,3
2017-07-12,3
2017-07-13,3
2017-07-14,2
2017-07-15,2
2017-07-16,2
2017-07-17,3
2017-07-18,2
2017-07-19,3
2017-07-20,3
2017-07-21,3
2017-07-22,3
2017-07-23,3
2017-07-24,3
2017-07-25,3
2017-07-26,2
2017-07-27,2
2017-07-28,2
2017-07-29,2
2017-07-30,2
2017-07-31,2
2017-08-01,3
2017-08-02,3
2017-08-03,2
2017-08-04,2
2017-08-05,3
2017-08-06,3
2017-08-07,3
2017-08-08,3
2017-08-09,3
2017-08-10,3
2017-08-11,3
2017-08-12,3
2017-08-13,3
2017-08-14,3
2017-08-15,3
2017-08-16,3
2017-08-17,3
2017-08-18,2
2017-08-19,3
2017-08-20,3
2017-08-21,3
2017-08-22,6
2017-08-23,8
2017-08-24,6
2017-08-25,5
2017-08-26,4
2017-08-27,4
2017-08-28,4
2017-08-29,4
2017-08-30,4
2017-08-31,4
2017-09-01,5
2017-09-02,4
2017-09-03,4
2017-09-04,4
2017-09-05,4
2017-09-06,4
2017-09-07,4
2017-09-08,3
2017-09-09,3
2017-09-10,3
2017-09-11,3
2017-09-12,3
2017-09-13,3
2017-09-14,3
2017-09-15,3
2017-09-16,3
2017-09-17,2
2017-09-18,3
2017-09-19,3
2017-09-20,3
2017-09-21,3
2017-09-22,2
2017-09-23,2
2017-09-24,2
2017-09-25,2
2017-09-26,2
2017-09-27,3
2017-09-28,3
2017-09-29,2
2017-09-30,3
2017-10-01,2
2017-10-02,3
2017-10-03,3
2017-10-04,3
2017-10-05,4
2017-10-06,3
2017-10-07,3
2017-10-08,4
2017-10-09,4
2017-10-10,4
2017-10-11,4
2017-10-12,4
2017-10-13,4
2017-10-14,4
2017-10-15,4
2017-10-16,7
2017-10-17,6
2017-10-18,5
2017-10-19,4
2017-10-20,4
2017-10-21,3
2017-10-22,3
2017-10-23,3
2017-10-24,4
2017-10-25,3
2017-10-26,3
2017-10-27,3
2017-10-28,3
2017-10-29,2
2017-10-30,3
2017-10-31,3
2017-11-01,3
2017-11-02,4
2017-11-03,5
2017-11-04,4
2017-11-05,4
2017-11-06,4
2017-11-07,3
2017-11-08,4
2017-11-09,4
2017-11-10,4
2017-11-11,3
2017-11-12,3
2017-11-13,4
2017-11-14,4
2017-11-15,3
2017-11-16,7
2017-11-17,6
2017-11-18,4
2017-11-19,4
2017-11-20,6
2017-11-21,5
2017-11-22,4
2017-11-23,5
2017-11-24,4
2017-11-25,5
2017-11-26,6
2017-11-27,7
2017-11-28,9
2017-11-29,12
2017-11-30,8
2017-12-01,7
2017-12-02,7
2017-12-03,7
2017-12-04,7
2017-12-05,8
2017-12-06,8
2017-12-07,10
2017-12-08,11
2017-12-09,10
2017-12-10,8
2017-12-11,11
2017-12-12,22
2017-12-13,45
2017-12-14,66
2017-12-15,58
2017-12-16,35
2017-12-17,27
2017-12-18,29
2017-12-19,33
2017-12-20,27
2017-12-21,57
2017-12-22,60
2017-12-23,31
2017-12-24,24
2017-12-25,21
2017-12-26,22
2017-12-27,34
2017-12-28,43
2017-12-29,84
2017-12-30,100
2017-12-31,51
